sys	r	g	b	name
bang-v2	240	226	255	512 Very pale violet
bang-v2	224	194	255	513 Pale violet
bang-v2	207	158	255	514 Very light violet
bang-v2	178	101	255	515 Light brilliant violet
bang-v2	128	0	255	516 Luminous vivid violet
bang-v2	208	184	231	517 Pale, light grayish violet
bang-v2	185	139	231	518 Light violet
bang-v2	156	81	231	519 Brilliant violet
bang-v2	116	0	231	520 Vivid violet
bang-v2	147	125	168	521 Grayish violet
bang-v2	121	74	168	522 Moderate violet
bang-v2	84	0	168	523 Strong violet
bang-v2	78	66	89	524 Dark grayish violet
bang-v2	64	39	89	525 Dark violet
bang-v2	45	0	89	526 Deep violet
bang-v2	23	17	29	527 Very dark violet
bang-v2	14	0	29	528 Very deep violet
bang-v2	232	194	255	529 Pale purple
bang-v2	219	158	255	530 Very light purple
bang-v2	197	101	255	531 Light brilliant purple
bang-v2	159	0	255	532 Luminous vivid purple
bang-v2	197	139	231	533 Light purple
bang-v2	175	81	231	534 Brilliant purple
bang-v2	145	0	231	535 Vivid purple
bang-v2	133	74	168	536 Moderate purple
bang-v2	105	0	168	537 Strong purple
bang-v2	70	39	89	538 Dark purple
bang-v2	56	0	89	539 Deep purple
bang-v2	248	226	255	540 Very pale mulberry
bang-v2	240	194	255	541 Pale mulberry
bang-v2	231	158	255	542 Very light mulberry
bang-v2	216	101	255	543 Light brilliant mulberry
bang-v2	191	0	255	544 Luminous vivid mulberry
bang-v2	220	184	231	545 Pale, light grayish mulberry
bang-v2	208	139	231	546 Light mulberry
bang-v2	194	81	231	547 Brilliant mulberry
bang-v2	174	0	231	548 Vivid mulberry
bang-v2	158	125	168	549 Grayish mulberry
bang-v2	145	74	168	550 Moderate mulberry
bang-v2	126	0	168	551 Strong mulberry
bang-v2	84	66	89	552 Dark grayish mulberry
bang-v2	77	39	89	553 Dark mulberry
bang-v2	67	0	89	554 Deep mulberry
bang-v2	247	194	255	555 Pale heliotrope
bang-v2	243	158	255	556 Very light heliotrope
bang-v2	236	101	255	557 Light brilliant heliotrope
bang-v2	223	0	255	558 Luminous vivid heliotrope
bang-v2	220	139	231	559 Light heliotrope
bang-v2	213	81	231	560 Brilliant heliotrope
bang-v2	202	0	231	561 Vivid heliotrope
bang-v2	156	74	168	562 Moderate heliotrope
bang-v2	147	0	168	563 Strong heliotrope
bang-v2	83	39	89	564 Dark heliotrope
bang-v2	78	0	89	565 Deep heliotrope
bang-v2	255	246	255	566 Magentaish white
bang-v2	255	226	255	567 Very pale magenta
bang-v2	255	194	255	568 Pale magenta
bang-v2	255	158	255	569 Very light magenta
bang-v2	255	101	255	570 Light brilliant magenta
bang-v2	255	0	255	571 Luminous vivid magenta
bang-v2	231	218	231	572 Light magentaish gray
bang-v2	231	184	231	573 Pale, light grayish magenta
bang-v2	231	139	231	574 Light magenta
bang-v2	231	81	231	575 Brilliant magenta
bang-v2	231	0	231	576 Vivid magenta
bang-v2	168	156	168	577 Magentaish gray
bang-v2	168	125	168	578 Grayish magenta
bang-v2	168	74	168	579 Moderate magenta
bang-v2	168	0	168	580 Strong magenta
bang-v2	89	83	89	581 Dark magentaish gray
bang-v2	89	66	89	582 Dark grayish magenta
bang-v2	89	39	89	583 Dark magenta
bang-v2	89	0	89	584 Deep magenta
bang-v2	29	26	29	585 Magentaish black
bang-v2	29	17	29	586 Very dark magenta
bang-v2	29	0	29	587 Very deep magenta
bang-v2	255	194	247	588 Pale orchid
bang-v2	255	158	243	589 Very light orchid
bang-v2	255	101	236	590 Light brilliant orchid
bang-v2	255	0	223	591 Luminous vivid orchid
bang-v2	231	139	220	592 Light orchid
bang-v2	231	81	213	593 Brilliant orchid
bang-v2	231	0	202	594 Vivid orchid
bang-v2	168	74	156	595 Moderate orchid
bang-v2	168	0	147	596 Strong orchid
bang-v2	89	39	83	597 Dark orchid
bang-v2	89	0	78	598 Deep orchid
bang-v2	255	226	248	599 Very pale fuchsia
bang-v2	255	194	240	600 Pale fuchsia
bang-v2	255	158	231	601 Very light fuchsia
bang-v2	255	101	216	602 Light brilliant fuchsia
bang-v2	255	0	191	603 Luminous vivid fuchsia
bang-v2	231	184	220	604 Pale, light grayish fuchsia
bang-v2	231	139	208	605 Light fuchsia
bang-v2	231	81	194	606 Brilliant fuchsia
bang-v2	231	0	174	607 Vivid fuchsia
bang-v2	168	125	158	608 Grayish fuchsia
bang-v2	168	74	145	609 Moderate fuchsia
bang-v2	168	0	126	610 Strong fuchsia
bang-v2	89	66	84	611 Dark grayish fuchsia
bang-v2	89	39	77	612 Dark fuchsia
bang-v2	89	0	67	613 Deep fuchsia
bang-v2	255	194	232	614 Pale cerise
bang-v2	255	158	219	615 Very light cerise
bang-v2	255	101	197	616 Light brilliant cerise
